device_id,temp_c,vibration_mm_s,status
DEV-A,39.9,2.197,fault
DEV-E,27.23,0.045,ok
DEV-A,34.28,0.019,ok
DEV-C,25.09,0.087,ok
DEV-C,38.6,0.558,ok
DEV-C,48.06,0.607,ok
DEV-A,43.87,1.235,ok
DEV-D,32.16,0.181,ok
DEV-A,46.6,0.366,ok
DEV-C,32.5,0.398,ok
DEV-B,51.63,1.17,ok
DEV-A,42.27,0.825,ok
DEV-E,37.26,0.578,ok
DEV-A,46.3,0.373,ok
DEV-D,42.82,0.167,ok
DEV-A,52.09,2.172,fault
DEV-B,45.1,1.342,ok
DEV-A,42.04,0.336,ok
DEV-B,45.02,0.142,ok
DEV-D,59.14,1.744,fault
DEV-D,38.14,0.107,ok
DEV-E,48.11,0.834,ok
DEV-A,51.9,2.847,fault
DEV-D,36.49,1.358,ok
DEV-C,44.87,0.712,ok
DEV-B,55.12,2.187,fault
DEV-C,20.52,0.914,ok
DEV-E,44.15,0.119,ok
DEV-B,39.39,0.023,ok
DEV-D,52.5,0.836,ok
DEV-E,27.91,0.743,ok
DEV-B,40.46,0.09,ok
DEV-C,36.35,0.348,ok
DEV-B,42.37,0.023,ok
DEV-C,53.06,0.887,ok
DEV-C,43.53,0.756,ok
DEV-C,32.05,0.491,ok
DEV-B,56.47,1.293,ok
DEV-A,39.06,0.209,ok
DEV-A,56.46,2.983,fault
DEV-C,35.14,0.853,ok
DEV-C,50.66,1.566,fault
DEV-E,44.04,0.412,ok
DEV-A,33.95,0.283,ok
DEV-E,39.47,1.141,ok
DEV-C,41.92,4.956,fault
DEV-A,43.58,0.028,ok
DEV-A,54.16,0.893,ok
DEV-E,51.97,2.759,fault
DEV-B,32.76,0.272,ok
DEV-E,41.94,0.039,ok
DEV-A,54.92,1.27,ok
DEV-E,42.08,0.17,ok
DEV-E,36.65,0.14,ok
DEV-E,50.61,1.502,fault
DEV-B,49.86,0.181,ok
DEV-B,46.26,1.665,fault
DEV-B,39.96,0.098,ok
DEV-D,64.43,1.317,ok
DEV-C,36.0,0.396,ok
DEV-C,45.48,0.442,ok
DEV-B,51.18,2.065,fault
DEV-B,58.03,1.231,ok
DEV-A,47.37,0.177,ok
DEV-E,33.06,0.193,ok
DEV-C,50.71,1.191,ok
DEV-D,50.24,1.296,ok
DEV-B,30.77,0.084,ok
DEV-C,24.96,3.18,fault
DEV-C,47.68,0.833,ok
DEV-D,45.95,0.204,ok
DEV-B,44.21,0.185,ok
DEV-E,37.63,0.682,ok
