region,unit_price_kron,units_sold,discount_frac,revenue_kron
Aurelia,8.71,0,0.18,0.0
Borvik,7.12,0,0.293,0.0
Borvik,29.29,4,0.639,42.29
Aurelia,15.91,1,0.244,12.03
Cyndara,41.56,8,0.283,238.39
Aurelia,87.39,4,0.383,215.68
Aurelia,58.87,4,0.291,166.96
Aurelia,61.72,5,0.214,242.56
Aurelia,9.45,2,0.016,18.6
Borvik,127.17,15,0.264,1403.96
Cyndara,26.14,3,0.474,41.25
Aurelia,30.37,4,0.311,83.7
Cyndara,40.88,7,0.36,183.14
Borvik,16.14,0,0.382,0.0
Drostal,45.98,5,0.152,194.96
Aurelia,31.96,2,0.201,51.07
Aurelia,59.71,3,,98.7
Cyndara,91.85,9,0.156,697.69
Aurelia,27.21,4,0.55,48.98
Borvik,97.91,9,0.098,794.83
Aurelia,22.96,3,0.152,58.41
Aurelia,47.35,2,0.18,77.65
Aurelia,51.28,4,0.712,59.07
Aurelia,54.63,3,0.202,130.78
Drostal,14.28,2,0.21,22.56
Drostal,22.51,1,0.118,19.85
Aurelia,33.29,2,0.018,65.38
Cyndara,107.2,6,0.006,639.34
Aurelia,53.27,7,0.128,325.16
Aurelia,26.73,2,0.172,44.26
Drostal,38.39,2,0.446,42.54
Borvik,91.99,14,0.251,964.61
Borvik,93.42,7,0.414,383.21
Aurelia,11.66,3,0.371,22.0
Aurelia,19.75,1,0.367,12.5
Aurelia,21.94,2,0.454,23.96
Cyndara,70.18,9,0.276,457.29
Drostal,85.87,6,0.229,397.23
Borvik,36.97,7,0.06,243.26
Aurelia,19.06,0,,0.0
Aurelia,62.1,3,0.32,126.68
Aurelia,37.94,3,0.636,41.43
Borvik,67.75,5,0.395,204.94
Aurelia,70.08,8,0.607,220.33
Cyndara,60.7,1,0.212,47.83
Borvik,6.47,1,0.177,5.32
Borvik,4.74,1,0.599,1.9
Cyndara,3.08,0,0.484,0.0
Drostal,85.73,9,0.327,519.27
Cyndara,50.92,3,0.265,112.28
Borvik,149.49,20,0.63,1106.23
Aurelia,78.43,4,0.061,294.58
Aurelia,73.09,5,0.154,309.17
Aurelia,11.05,1,0.365,7.02
Cyndara,34.55,4,0.457,75.04
Aurelia,4.86,0,0.178,0.0
Aurelia,63.39,5,0.311,218.38
Borvik,10.4,1,0.364,6.61
Aurelia,30.31,8,0.356,156.16
Aurelia,21.52,2,0.114,38.13
Aurelia,35.6,4,0.087,130.01
Cyndara,120.34,12,0.031,1399.31
Cyndara,31.77,1,0.178,26.11
Cyndara,38.94,5,0.111,173.09
Aurelia,30.08,2,0.15,51.14
Cyndara,35.96,4,0.605,56.82
Borvik,75.05,9,0.298,474.17
Aurelia,31.54,1,0.163,26.4
Borvik,37.69,5,,167.34
