ticker,qty,fill_price,side
MTLP,150,97.92,buy
ZQRX,636,102.47,buy
PLOM,852,96.87,buy
WBYZ,926,107.33,buy
KVDN,863,97.12,buy
ZQRX,265,95.99,sell
ZQRX,231,106.44,sell
ZQRX,45,93.38,buy
ZQRX,941,95.53,sell
KVDN,721,98.89,sell
ZQRX,700,100.88,sell
MTLP,241,111.78,buy
MTLP,774,96.99,buy
ZQRX,838,103.2,sell
ZQRX,512,94.82,sell
KVDN,536,97.12,sell
ZQRX,561,99.2,sell
MTLP,292,93.25,sell
ZQRX,281,95.05,sell
KVDN,863,99.05,buy
WBYZ,286,108.45,sell
KVDN,958,103.83,buy
PLOM,862,98.92,sell
MTLP,310,99.62,sell
MTLP,988,103.63,buy
KVDN,402,91.85,sell
ZQRX,185,97.82,buy
ZQRX,941,93.83,buy
MTLP,347,99.97,buy
PLOM,769,104.2,sell
ZQRX,557,99.32,sell
ZQRX,544,97.25,buy
ZQRX,606,88.61,buy
MTLP,961,101.26,buy
WBYZ,380,87.78,buy
WBYZ,526,102.79,sell
ZQRX,707,97.02,buy
ZQRX,648,100.57,sell
WBYZ,695,101.96,buy
MTLP,563,97.76,buy
ZQRX,285,97.01,buy
MTLP,563,101.42,buy
MTLP,959,99.87,sell
KVDN,376,106.69,buy
MTLP,192,106.08,sell
ZQRX,98,97.07,buy
MTLP,910,102.12,buy
PLOM,612,102.49,buy
MTLP,975,96.48,buy
ZQRX,235,95.35,sell
MTLP,804,94.05,sell
MTLP,393,95.72,sell
WBYZ,919,94.27,sell
PLOM,423,101.99,sell
KVDN,140,95.0,sell
MTLP,570,104.97,sell
ZQRX,558,93.17,sell
ZQRX,510,93.66,buy
ZQRX,726,97.24,buy
ZQRX,405,97.82,sell
ZQRX,948,97.64,buy
PLOM,25,100.27,buy
KVDN,510,100.64,buy
KVDN,406,111.88,sell
WBYZ,72,90.1,sell
ZQRX,678,95.83,sell
ZQRX,226,112.41,sell
KVDN,859,102.26,buy
ZQRX,215,107.2,buy
MTLP,47,99.12,buy
ZQRX,799,97.49,buy
PLOM,850,100.44,sell
ZQRX,15,107.26,sell
ZQRX,900,101.12,sell
WBYZ,943,94.76,buy
ZQRX,82,108.84,buy
KVDN,486,103.8,sell
KVDN,666,107.85,sell
ZQRX,775,98.62,buy
WBYZ,871,103.71,sell
PLOM,138,110.53,sell
MTLP,407,98.04,sell
WBYZ,864,94.66,sell
ZQRX,503,105.29,buy
MTLP,995,92.81,sell
MTLP,376,103.48,sell
KVDN,546,109.63,buy
WBYZ,619,98.15,buy
PLOM,781,102.36,sell
ZQRX,76,101.46,buy
PLOM,239,99.3,sell
MTLP,310,99.13,buy
MTLP,383,100.68,buy
MTLP,906,91.96,sell
WBYZ,683,96.81,buy
MTLP,220,94.21,sell
MTLP,675,100.55,buy
KVDN,701,102.01,sell
MTLP,499,102.05,sell
ZQRX,493,103.0,sell
PLOM,74,89.04,sell
MTLP,201,105.06,sell
KVDN,915,98.31,sell
WBYZ,743,102.96,sell
KVDN,948,96.49,sell
KVDN,362,92.44,buy
WBYZ,149,100.34,buy
MTLP,119,100.76,buy
ZQRX,111,110.4,buy
KVDN,201,99.03,sell
KVDN,901,101.57,buy
WBYZ,89,101.76,buy
ZQRX,746,103.25,sell
ZQRX,72,99.54,sell
WBYZ,707,97.9,buy
KVDN,998,99.87,buy
KVDN,83,98.64,sell
WBYZ,548,102.11,sell
KVDN,920,98.25,buy
PLOM,390,102.3,sell
KVDN,273,97.86,sell
ZQRX,947,100.49,sell
KVDN,585,103.76,buy
